Equipe;Nom;Poste;Type poste;Date de naissance;Taille (en cm);Poids (en kg);ID_equipe;Equipe;Compo
Bordeaux;Ulupano SEUTENI;Centre;Trois-Quarts;09/12/1993;185;95;3;;FALSE
Bordeaux;Blair CONNOR;Ailier;Trois-Quarts;29/09/1988;183;82;3;;FALSE
Bordeaux;Nicolas PLAZY;Ailier;Trois-Quarts;17/05/1994;188;85;3;;FALSE
Bordeaux;Santiago CORDERO;Ailier;Trois-Quarts;06/12/1993;177;83;3;;FALSE
Bordeaux;Geoffrey CROS;Arrière;Arrière;08/03/1997;185;85;3;;FALSE
Bordeaux;Nans DUCUING;Arrière;Arrière;06/11/1991;181;90;3;;FALSE
Bordeaux;Romain BUROS;Arrière;Arrière;31/07/1997;187;91;3;;FALSE
Brive;Cody THOMAS;Pilier;Avant;01/03/1996;186;124;4;;FALSE
Brive;Hayden THOMPSON-STRINGER;Pilier;Avant;25/12/1994;190;119;4;;FALSE
Brive;James JOHNSTON;Pilier;Avant;06/03/1986;191;129;4;;FALSE
Brive;Karlen ASIESHVILI;Pilier;Avant;21/04/1987;180;118;4;;FALSE
Brive;Mesake DOGE;Pilier;Avant;01/04/1993;178;122;4;;FALSE
Brive;Simon-Pierre CHAUVAC;Pilier;Avant;23/03/1998;189;116;4;;FALSE
Brive;Soso BEKOSHVILI;Pilier;Avant;03/11/1993;180;116;4;;FALSE
Brive;François DA ROS;Talonneur;Avant;29/09/1983;179;104;4;;FALSE
Brive;Peniami Nasali NARISIA;Talonneur;Avant;10/06/1997;187;104;4;;FALSE
Brive;Thomas ACQUIER;Talonneur;Avant;21/11/1989;181;112;4;;FALSE
Brive;Jan UYS;2ème ligne;2ème ligne;03/01/1994;195;120;4;;FALSE
Brive;Joe SNYMAN;2ème ligne;2ème ligne;09/07/1986;200;112;4;;FALSE
Brive;Mitch LEES;2ème ligne;2ème ligne;12/10/1988;196;120;4;;FALSE
Brive;Peet MARAIS;2ème ligne;2ème ligne;31/10/1990;199;120;4;;FALSE
Brive;Richard FOURCADE;2ème ligne;2ème ligne;04/04/1993;200;110;4;;FALSE
Brive;Victor LEBAS;2ème ligne;2ème ligne;09/06/1993;193;108;4;;FALSE
Brive;Esteban ABADIE;3ème ligne;3ème ligne;01/12/1997;188;95;4;;FALSE
Brive;Irakli TSKHADADZE;3ème ligne;3ème ligne;01/08/1996;191;104;4;;FALSE
Brive;Kitione KAMIKAMICA;3ème ligne;3ème ligne;27/04/1996;188;105;4;;FALSE
Brive;Matthieu VOISIN;3ème ligne;3ème ligne;16/05/1996;193;104;4;;FALSE
Brive;Otar GIORGADZE;3ème ligne;3ème ligne;02/03/1996;193;108;4;;FALSE
Brive;Saïd HIRÈCHE;3ème ligne;3ème ligne;27/05/1985;183;102;4;;FALSE
Brive;Sootala FAASOO;3ème ligne;3ème ligne;02/10/1994;194;127;4;;FALSE
Brive;Steevy CERQUEIRA;3ème ligne;3ème ligne;09/08/1993;206;114;4;;FALSE
Brive;David DELARUE;Mêlée;Demi;27/10/1996;190;85;4;;FALSE
Brive;Julien BLANC;Mêlée;Demi;04/10/1992;175;81;4;;FALSE
Brive;Quentin DELORD;Mêlée;Demi;10/02/1999;171;74;4;;FALSE
Brive;Vasil LOBZHANIDZE;Mêlée;Demi;14/10/1996;175;75;4;;FALSE
Brive;Enzo HERVÉ;Ouverture;Demi;13/10/1998;177;89;4;;FALSE
Brive;Thomas LARANJEIRA;Ouverture;Demi;05/05/1992;186;90;4;;FALSE
